OBJECTID,SQUARE,SUFFIX,RES,PAR,LOT,CONDO_REGIME,SSL,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,AREA_NEW,CENTROIDX,CENTROIDY,MINLAT,MAXLAT,MINLONG,MAXLONG,NSSL,UBID,NUBID,LINK_TYPE,LINK_TYPE_DESCRIPTION,GIS_ID,SE_ANNO_CAD_DATA,CREATOR,CREATED,EDITOR,EDITED,WARD,GLOBALID,SHAPE_Length,SHAPE_Area
486457,PAR,0160, ,0160,0036, ,PAR 01600036,Building,2015/04/24 00:00:00+00,E,2308.78269296,-76.97212387,38.89895061,38.89881071,38.89909023,-76.97218823,-76.97204184,12,87C5V2XH+H5J-5-2-6-3,1,3,One Building Many Lots,UBIDPly_12470,,,,,,5,{36949EE6-BC54-4704-E063-792F520AC09B},88.0366064365216,354.64017360273
486458,PAR,0160, ,0160,0036, ,PAR 01600036,Building,2015/04/24 00:00:00+00,E,2202.17507454,-76.97212387,38.89895061,38.89881071,38.89909023,-76.97218823,-76.97204184,12,87C5V2XH+H5J-5-2-6-3,1,3,One Building Many Lots,UBIDPly_12467,,,,,,5,{36949EE6-BC55-4704-E063-792F520AC09B},86.9797784798953,338.268906345934
486459,5194, , , ,0823, ,5194    0823,Building,2017/03/09 00:00:00+00,E,115.59986515,-76.92837103,38.89874882,38.89863962,38.89885802,-76.928396,-76.92834606,8,87C5V3XC+FMR-5-0-4-1,1,3,One Building Many Lots,UBIDPly_53464,,,,,,7,{36949EE6-BC56-4704-E063-792F520AC09B},17.2764878783986,17.7535304776054
486460,0625, , , ,0063, ,0625    0063,Building,2015/04/24 00:00:00+00,E,8166.83866572,-77.01103433,38.89868205,38.89858021,38.89876971,-77.01122937,-77.01083232,1,87C4VXXQ+FHG-3-7-4-6,1,1,One Building One Lot,UBIDPly_40463,,,,,,6,{36949EE6-BC57-4704-E063-792F520AC09B},137.660600474131,1091.20494193458
486461,0455, , , ,0047, ,0455    0047,Building,2015/04/24 00:00:00+00,E,2573.61695943,-77.0209527,38.89810455,38.89749859,38.89874441,-77.02176636,-77.02011457,2,87C4VXXH+6JV-25-27-25-26,1,3,One Building Many Lots,UBIDPly_689,,,,,,2,{36949EE6-BC58-4704-E063-792F520AC09B},81.5732984531175,215.841606828223
486462,5147, , , ,0029, ,5147    0029,Building,2015/04/24 00:00:00+00,E,2154.64508751,-76.93355031,38.89856757,38.89851206,38.89862307,-76.93360487,-76.93350364,1,87C5V3X8+CHG-2-1-2-2,1,1,One Building One Lot,UBIDPly_46910,,,,,,7,{36949EE6-BC59-4704-E063-792F520AC09B},57.1300556952459,163.620291309817
486463,5147, , , ,0811, ,5147    0811,Building,2015/04/24 00:00:00+00,E,2154.64508751,-76.93328435,38.89836712,38.89833213,38.89840212,-76.9333283,-76.9332404,4,87C5V3X8+8MW-2-2-1-1,1,3,One Building Many Lots,UBIDPly_52576,,,,,,7,{36949EE6-BC5A-4704-E063-792F520AC09B},57.88986417489,167.342615993485
486464,0252, , , ,0079, ,0252    0079,Building,2015/04/24 00:00:00+00,E,48271.8200903,-77.03095819,38.8987445,38.89845765,38.89900489,-77.03128716,-77.03068756,1,87C4VXX9+FJV-11-8-11-11,1,1,One Building One Lot,UBIDPly_635,,,,,,2,{36949EE6-BC5B-4704-E063-792F520AC09B},306.016639729131,4647.32349338692
486465,PAR,0160, ,0160,0036, ,PAR 01600036,Building,2015/04/24 00:00:00+00,E,3559.5712421,-76.97212387,38.89895061,38.89881071,38.89909023,-76.97218823,-76.97204184,12,87C5V2XH+H5J-5-2-6-3,1,3,One Building Many Lots,UBIDPly_12466,,,,,,5,{36949EE6-BC5C-4704-E063-792F520AC09B},123.49557146091,546.777795455073
486466,PAR,0160, ,0160,0035, ,PAR 01600035,Building,2015/04/24 00:00:00+00,E,1241.32821093,-76.97253635,38.89920193,38.89906768,38.89933994,-76.97258414,-76.97248872,22,87C5V2XG+MXP-5-2-6-1,1,3,One Building Many Lots,UBIDPly_26485,,,,,,5,{36949EE6-BC5D-4704-E063-792F520AC09B},57.0724615321572,190.672525089707
